channel_title,Total_Videos,Total_Views,Avg_Views,Total_Likes,Avg_Engagement
Emma Massingale,4,66436,16609.0,338,0.56
DrakeBellVEVO,1,65973,65973.0,3677,7.53
Kat Cunning,3,65739,21913.0,249,0.49
The Inertia,1,65371,65371.0,296,0.63
TheUnlockr,7,65222,9317.43,3973,7.04
Tom Thum,3,64822,21607.33,8338,14.7
AmandaMoor & Craft Ideas,4,64719,16179.75,1184,2.33
Bloomberg Politics,6,64316,10719.33,720,3.89
Tony Berza,2,63448,31724.0,987,1.67
Fontgod,5,63389,12677.8,632,1.23
Domain of Science,2,62062,31031.0,5590,9.82
Business InsiderAu,5,61875,12375.0,182,0.41
Turbo Conquering Mega Eagle,3,60624,20208.0,615,1.49
Topic,4,58585,14646.25,538,1.1
MK Dons,3,58437,19479.0,85,0.15
Amanda Palmer,2,57481,28740.5,3177,6.08
Benn and Gear,2,57047,28523.5,1023,2.04
Matoma,3,56602,18867.33,4054,7.83
Mom Will Be Proud,2,56466,28233.0,661,1.33
Katy Perry,1,56012,56012.0,6243,12.07
MovieAccessTrailers,3,55746,18582.0,599,1.61
Whitney Port,1,55398,55398.0,1170,2.76
Hannah Witton,2,54584,27292.0,6524,13.03
COVERGIRL,5,53276,10655.2,1542,3.92
Talks at Google,1,53000,53000.0,445,0.89
Tim Barrett,2,52428,26214.0,58,0.13
The Royal Ocean Film Society,2,51057,25528.5,4305,9.0
Marie McGann,6,51051,8508.5,161,0.78
Bloomberg,2,50503,25251.5,827,2.04
Catch-Up TV,2,50019,25009.5,714,4.9
Clark Zhu,4,49596,12399.0,493,1.72
NBA on ESPN,5,49357,9871.4,261,0.6
Xbox,1,48735,48735.0,2465,6.12
Vat19Nvjds,3,48416,16138.67,526,1.54
The Players' Tribune,3,47122,15707.33,678,1.59
Braxen McConnell,5,46980,9396.0,1174,3.34
Just Marcus,1,46706,46706.0,3091,7.0
Austin Burk,6,45967,7661.17,684,1.81
misleadingsilhouette,1,45096,45096.0,287,0.79
FerrasVEVO,3,44195,14731.67,3478,9.02
730 WVFN,5,43896,8779.2,62,0.94
Lamborghini,2,43585,21792.5,922,2.48
FrownsUpsideDown,4,43332,10833.0,266,0.59
RESSENCE WATCHES,3,42187,14062.33,88,0.24
Kanimuna Kisaka,4,42088,10522.0,196,0.92
Eric Strebel,10,41509,4150.9,1080,2.95
Genuine Survival Research Labs,2,39113,19556.5,185,0.6
Video Library,3,38824,12941.33,16,0.08
Outback Steakhouse,4,38782,9695.5,49,0.2
PhilPhillipsVEVO,1,38068,38068.0,2195,6.24
HACKADAY,14,36823,2630.21,1092,3.33
YBF Chic,11,36719,3338.09,187,0.43
MARIO TESTINO,5,36452,7290.4,377,1.1
Oceana,5,36420,7284.0,132,0.42
Audience Network,3,35543,11847.67,15,0.04
Marcos Horacio,4,35332,8833.0,574,2.04
Mike H,4,35257,8814.25,173,0.54
Max Hertan,4,34746,8686.5,498,1.84
Represent.Us,3,34212,11404.0,338,1.55
CityNews Toronto,1,34133,34133.0,46,0.23
greeenpro,3,33547,11182.33,187,0.73
K Yuen,1,33260,33260.0,181,0.87
Dish Nation,3,33230,11076.67,521,3.06
